2021-04-25 15:29:26: == Sync Started by User Command
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/10/10fd0e101cb2bd116fcda6f04e0ef93f
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/11/117a2a00cee92018f208fd137b04692d
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/11/11e8b4caf9e1ffdec137791e1033be38
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/12/12778c136a842750a9a16cd800a9d990
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/13/1375b66690698aa65d775ec42291680e
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/15/15276b9521104e7de6c9368a78844c90
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/16/1693d38709cfb6826930c389d5f04eac
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/18/18b34b0f6590ff34ef3a00249fb43785
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/18/18d542381559bab2921bf750c7371c2a
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/19/19c90f56ded2118b250d2069b45ad944
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1b/1bc01928a20422309dcabcddd6f62311
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1d/1d27f5321b2781807b916a984febae8a
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1d/1d2e9814752f584a776f42b9f23a7bc7
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1d/1deb0b60de2ba6b9a03847284abdb58d
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1e/1e31f4d448beda7dca6776efca6dac46
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1f/1f4c079dffbdaa5ba22e7840a1e1539a
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1f/1f4e0be1b31dfb06374491b3b627423c
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1f/1f992818231e703ba8c07ac24240043e
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/1f/1fe84b989576e2e277baea72915133ad
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/20/20fd820fc3c21ebf0166ed763f176652
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/21/21e35aa7a188797ec405e979d7259d5f
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/22/2285bdaacf40df822fd6e1ee5281083f
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/24/2409d28a2053cbdd9371d6ce9fd0839b
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/24/24a16faf98fb51e552b14a34af31ec70
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/24/24ec13ddd8972952505a1e679fbb5fb9
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/25/259315f4325a1e4a12e1a6ad46e8ea4c
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/26/26ed8abb02d32d7391c036a0b86e8690
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/27/274c86da955bfe4db207e214169407f5
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/2b/2b8b235cd85c635b41721d393fd0230d
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/2e/2eb5540a90c85b1160cf356a7a2590bb
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/2f/2ff9cd1c4dcce816e4f4bf818896cee3
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/30/3000575ac501b4a6f67ff391494991ed
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/31/31bdede7e965fc5ec2a59bf7fa4ee72f
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/31/31d6979e5f5873060eb27e558438aa69
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/31/31e26a63f09ea52f96b35e86eb88d3b9
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/32/3202431461cb62e7bd018db4d0350c2e
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/32/321e99685b9ef9e3be0def8982582515
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/32/32f56b2307f8a13b08c471ea2587b22a
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/33/331e1b6a9df91010b271a547c67280f2
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/33/33fcf09f6a6ae5359641b6f5ad278d79
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/34/343f18416a6df86cbe9e1812296d70a1
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/35/359b0f07a188511be9f03ffc7865d187
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/36/361dabd1ebca5e9045bcd8751027da83
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/38/3879411dfb1814d47a2ef2ac936e5a56
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/39/39ad114f041f11efa160581133ab4f1d
